-3.77	40.23	Casa_Jose	 2	 4	2013	648
 0	 0	24	 1.01	 0.86	 0.01	 0.01	 0.00	 0.99	 1.02	 0.98	 3.59	-0.19	 0.18
 0	 1	28	 1.01	 0.79	 0.01	 0.02	 0.00	 0.99	 1.02	 0.98	 3.59	-0.18	 0.17
 0	 2	31	 1.01	 0.79	 0.01	 0.01	 0.00	 0.99	 1.03	 0.98	 3.59	-0.19	 0.17
 0	 3	34	 1.01	 0.79	 0.01	 0.01	 0.00	 0.99	 1.02	 0.98	 3.59	-0.18	 0.18
 0	 4	38	 1.01	 0.79	 0.01	 0.01	 0.00	 0.99	 1.02	 0.98	 3.59	-0.19	 0.18
 0	 5	41	 1.01	 0.83	 0.01	 0.02	 0.00	 0.99	 1.03	 0.98	 3.59	-0.18	 0.17
 0	 6	45	 1.01	 0.86	 0.01	 0.02	 0.00	 0.99	 1.02	 0.98	 3.59	-0.19	 0.17
 0	 7	48	 1.01	 0.90	 0.01	 0.01	 0.00	 0.99	 1.03	 0.98	 3.59	-0.18	 0.17
 0	 8	52	 1.01	 0.86	 0.01	 0.01	 0.00	 0.99	 1.03	 0.98	 3.59	-0.19	 0.17
 0	 9	55	 1.01	 0.75	 0.01	 0.02	 0.00	 0.99	 1.03	 0.98	 3.59	-0.18	 0.17
 0	10	59	 1.01	 0.86	 0.01	 0.02	 0.00	 0.99	 1.02	 0.98	 3.59	-0.18	 0.18
 0	12	 2	 1.01	 0.83	 0.01	 0.02	 0.00	 0.99	 1.03	 0.98	 3.59	-0.18	 0.17
 0	13	 6	 1.01	 0.75	 0.01	 0.01	 0.00	 0.99	 1.02	 0.98	 3.59	-0.19	 0.18
 0	14	 9	 1.01	 0.86	 0.01	 0.02	 0.00	 0.99	 1.02	 0.98	 3.59	-0.18	 0.17
 0	15	13	 1.01	 0.83	 0.01	 0.01	 0.00	 0.99	 1.03	 0.98	 3.59	-0.19	 0.17
 0	16	17	 1.01	 0.90	 0.01	 0.01	 0.00	 0.99	 1.03	 0.98	 3.59	-0.19	 0.18
 0	17	20	 1.01	 0.75	 0.01	 0.02	 0.00	 0.99	 1.02	 0.98	 3.59	-0.18	 0.17
 0	18	24	 1.01	 0.75	 0.01	 0.01	 0.00	 0.99	 1.02	 0.98	 3.59	-0.19	 0.17
 0	19	28	 1.01	 0.83	 0.01	 0.01	 0.00	 0.99	 1.02	 0.98	 3.59	-0.19	 0.18
 0	20	31	 1.01	 0.75	 0.01	 0.02	 0.00	 0.99	 1.02	 0.98	 3.59	-0.18	 0.17
 0	21	35	 1.01	 0.90	 0.01	 0.02	 0.00	 0.99	 1.03	 0.98	 3.59	-0.18	 0.17
 0	22	39	 1.01	 0.83	 0.01	 0.01	 0.00	 0.99	 1.03	 0.98	 3.59	-0.19	 0.17
 0	23	43	 6.69	 0.67	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.04
 0	24	46	 6.69	 0.72	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.04
 0	25	50	 6.69	 0.81	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.04
 0	26	54	 6.69	 0.72	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.04
 0	27	58	 6.69	 0.67	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.04
 0	29	 2	 6.69	 0.58	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.05
 0	30	 6	 6.69	 0.67	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.04
 0	31	10	 6.69	 0.67	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.04
 0	32	14	 6.69	 0.76	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.04
 0	33	18	 6.69	 0.76	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.04
 0	34	22	 6.69	 0.67	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.04
 0	35	26	 6.69	 0.58	 0.01	 0.01	 0.03	 6.67	 6.70	 6.68	18.46	-0.07	 0.04
